10.30.8.11 - - [17/Mar/2025:21:14:24 -0700] "GET / HTTP/1.1" 200 680 "http://wsr.ru/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.1023 YaBrowser/23.9.1.1023 (corp) Yowser/2.5 Safari/537.36"
10.30.8.11 - - [17/Mar/2025:21:14:24 -0700] "GET /icons/blank.gif HTTP/1.1" 200 431 "http://rimtbsy-m5.wsr.ru/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.1023 YaBrowser/23.9.1.1023 (corp) Yowser/2.5 Safari/537.36"
10.30.8.11 - - [17/Mar/2025:21:14:24 -0700] "GET /icons/unknown.gif HTTP/1.1" 200 529 "http://rimtbsy-m5.wsr.ru/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.1023 YaBrowser/23.9.1.1023 (corp) Yowser/2.5 Safari/537.36"
10.30.8.11 - - [17/Mar/2025:21:14:24 -0700] "GET /favicon.ico HTTP/1.1" 404 495 "http://rimtbsy-m5.wsr.ru/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.1023 YaBrowser/23.9.1.1023 (corp) Yowser/2.5 Safari/537.36"
192.168.12.218 - - [06/Apr/2025:20:39:05 -0700] "GET /hello HTTP/1.1" 200 607 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
192.168.12.218 - - [06/Apr/2025:20:39:05 -0700] "GET /favicon.ico HTTP/1.1" 200 554 "http://rimtbsy-m5.wsr.ru/hello" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
192.168.12.218 - - [06/Apr/2025:20:39:15 -0700] "GET /go HTTP/1.1" 200 607 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
192.168.12.218 - - [06/Apr/2025:20:39:16 -0700] "GET /go HTTP/1.1" 200 606 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
192.168.12.218 - - [06/Apr/2025:20:39:16 -0700] "GET /favicon.ico HTTP/1.1" 200 554 "http://rimtbsy-m5.wsr.ru/go" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
192.168.12.218 - - [06/Apr/2025:20:39:21 -0700] "GET / HTTP/1.1" 200 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
192.168.12.218 - - [06/Apr/2025:20:39:21 -0700] "GET /favicon.ico HTTP/1.1" 200 554 "http://rimtbsy-m5.wsr.ru/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
192.168.12.218 - - [06/Apr/2025:21:08:40 -0700] "GET / HTTP/1.1" 200 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
192.168.12.218 - - [06/Apr/2025:21:08:40 -0700] "GET /favicon.ico HTTP/1.1" 200 554 "http://rimtbsy-m5.wsr.ru/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
192.168.12.218 - - [06/Apr/2025:21:08:43 -0700] "GET / HTTP/1.1" 200 554 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
